"Quantum Innova People Inc.
Expense Details

From 01/01/2024 To 12/31/2024",,,,,,,,,,,,,
status,date,transaction_number,vendor_name,account_name,customer_name,amount,amount_with_tax,transaction_type,transaction_id,vendor_id,customer_id,receipt_name,expense.CF.Request Receipt Affidavit
nonbillable,2024-11-08,,Amazon Prime,4600-Cost of Goods Sold,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,128.38,128.38,expense,5454236000002622039,5454236000000375031,5454236000000115003,Amazon.com+-+Order+113-3959046-2313018.pdf,false
nonbillable,2024-11-08,,Amazon Prime,4600-Cost of Goods Sold,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,64.19,64.19,expense,5454236000002623031,5454236000000375031,5454236000000115003,Amazon.com+-+Order+113-9511078-5621046.pdf,false
nonbillable,2024-11-08,,Amazon Prime,4600-Cost of Goods Sold,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,85.59,85.59,expense,5454236000002624019,5454236000000375031,5454236000000115003,Amazon.com+-+Order+113-1678932-7824231.pdf,false
nonbillable,2024-11-08,,Amazon Prime,4600-Cost of Goods Sold,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,25.67,25.67,expense,5454236000002625037,5454236000000375031,5454236000000115003,Amazon.com+-+Order+113-7657166-3992264.pdf,false
nonbillable,2024-11-08,,Amazon Prime,4600-Cost of Goods Sold,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,4.91,4.91,expense,5454236000002631007,5454236000000375031,5454236000000115003,Amazon.com+-+Order+113-1554846-3181859.pdf,false
nonbillable,2024-11-08,,Amazon Prime,4600-Cost of Goods Sold,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,64.19,64.19,expense,5454236000002632015,5454236000000375031,5454236000000115003,Amazon.com+-+Order+113-9511078-5621046.pdf,false
nonbillable,2024-11-08,,Amazon Prime,4600-Cost of Goods Sold,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,19.24,19.24,expense,5454236000002636015,5454236000000375031,5454236000000115003,Amazon.com+-+Order+113-6937429-5239455.pdf,false
nonbillable,2024-11-08,,Amazon Prime,4600-Cost of Goods Sold,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,18.18,18.18,expense,5454236000002639007,5454236000000375031,5454236000000115003,Amazon.com+-+Order+113-6360181-1025856.pdf,false
nonbillable,2024-11-08,,Amazon Prime,4600-Cost of Goods Sold,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,23.37,23.37,expense,5454236000002640015,5454236000000375031,5454236000000115003,Amazon.com+-+Order+113-0641315-1615463.pdf,false
nonbillable,2024-11-08,,Amazon Prime,4600-Cost of Goods Sold,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,16,16,expense,5454236000002644009,5454236000000375031,5454236000000115003,Amazon.com+-+Order+113-3189006-1829846.pdf,false
nonbillable,2024-11-08,,Amazon Prime,4600-Cost of Goods Sold,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,4.91,4.91,expense,5454236000002655029,5454236000000375031,5454236000000115003,Amazon.com+-+Order+113-1546833-7498613.pdf,false
nonbillable,2024-11-12,,Best Buy,4852-Meals During Travel,,2.45,2.45,expense,5454236000002885245,5454236000002885227,,,false
nonbillable,2024-11-12,,McDonald's,4851-Meals with Clients,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,18.37,18.37,expense,5454236000002885267,5454236000001900205,5454236000000115003,,false
nonbillable,2024-11-15,,Starbucks,4851-Meals with Clients,Office Pride Commercial Cleaning Services of Indianapolis-Carmel,38.86,38.86,expense,5454236000003010005,5454236000001100001,5454236000000115003,,true
